日期,標題,連結,新聞露出整理,議題分類,議題標籤
2024/01/09,"補保護漏洞 和黑幫搶人
勿讓今日少年犯，成為明日成年犯！
應確實檢討少保官未發揮效用、少輔會功能限縮問題",20240109【國教行動聯盟新聞稿】,新聞露出24篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/01/11,"補校安漏洞 幫非行少年 預防少年殺人事件再度發生
應落實三級處遇輔導、中介教育、三級預防",20240111【國教行動聯盟新聞稿】,新聞露出31篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/01/19,"少年犯罪日益嚴重 新北殺人事件並非偶然
國教盟呼籲檢討相關制度",20240119【國教行動聯盟新聞稿】,新聞露出26篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/02/03,"避免今日的非行少年，成為明日的成人罪犯親職教育
國教盟肯定教育部強化校園輔導管教與安檢措施 
應落實家庭親職教育，校安輔導人力、中介教育、個管銜接仍待補足",20240203【國教行動聯盟新聞稿】,新聞露出13篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/02/24,"補社安漏洞 幫非行少年 預防少年殺人事件再度發生
建請司法院召集跨院協商會議 確實檢討少年事件處理暨保護制度",20240224【國教行動聯盟＆「孩想陪你長大」聯盟聯合新聞稿】,新聞露出22篇,兒童保護與權益,"校園霸凌
校園安全
司法少年"
2024/03/14,"家長再爆：菸商不怕罰 昨被稽查今繼續行銷加熱菸 
家長團體：依法按次裁罰 每次5,000萬元!",20240314【國教行動聯盟與拒菸盟聯合新聞稿】,新聞露出19篇,菸害與藥物防制,加熱菸
2024/03/19,"回應立法院教文委員會昨日報告詢答：
少保官未見檢討 曝險少年定義狹隘 中介教育空中樓閣
是真心檢討還是虛晃一招？",20240319【國教行動聯盟新聞稿】,新聞露出11篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/04/10,"回顧410教改30週年
國教盟期盼深化教育對話 推動教育進",20240410【國教行動聯盟新聞稿】,新聞露出15篇,教育政策與改革,升學制度
2024/04/12,"國教盟肯定新內閣教長人選
期盼推動教育精緻化 檢討教育缺失 共推教育進",20240412【國教行動聯盟新聞稿】,新聞露出11篇,教育政策與改革,升學制度
2024/04/17,"國教盟回應霸凌準則修正：
肯定教育部勇於面對問題  回應民間團體訴求
相關配套措施 應儘速啟動",20240417【國教行動聯盟新聞稿】,新聞露出17篇,校園安全與管理,校園霸凌
2024/04/24,"補校安漏洞 幫非行少年 預防少年殺人事件再度發生
回應學生輔導法修法 國教盟提出三大訴求",20240424【國教行動聯盟新聞稿】,新聞露出25篇,校園安全與管理,"校園霸凌
校園安全
司法少年"
2024/05/01,"回應國中小學生獎懲準則發布
國教盟提出三大疑慮",20240501【國教行動聯盟新聞稿】,新聞露出60篇,教育政策與改革,
2024/05/30,"回應鄭英耀部長提出課綱微調
國教盟表達對課綱三大訴求",20240530【國教行動聯盟新聞稿】,新聞露出33篇,教育政策與改革,升學制度
2024/06/06,"菸商要求速審開放加熱菸~目標鎖定百萬台灣年輕人?!
「減害」「避免黑市、走私」「損失菸捐稅收」是誤導說法
台灣拒菸聯盟：衛福部職責是維護國人健康 應依法確實管控加熱菸！",20240606【國教行動聯盟新聞稿】,新聞露出20篇,菸害與藥物防制,加熱菸
2024/06/14,"台灣需要什麼樣的性教育？
家長本土化性教育問卷結果出爐！
支持「全面性教育」應適當調整以符合本土需求",20240614【國教行動聯盟新聞稿】,新聞露出27篇,性健康與性教育,性教育改革
2024/07/09,"補校安漏洞 幫非行少年 預防少年殺人事件再度發生
肯定學生輔導法修法符合期待 將有助防制校園霸凌、提升心理健康",20240709【國教行動聯盟新聞稿】,新聞露出16篇,校園安全與管理,"司法少年
校園霸凌
校園安全"
2024/07/17,"電子煙氾濫是毒駕男撞死三重警背後主因
煙毒不分家 徹底禁絕電子煙才是根本之",20240717【國教行動聯盟新聞稿】,新聞露出6篇,菸害與藥物防制,電子煙
2024/08/30,"推翻前朝承諾？ 司法院、行政院少事會議決議迄未落實
國教盟呼籲應痛定思痛 不要讓下一個少年喪命",20240830【國教行動聯盟新聞稿】,新聞露出15篇,校園安全與管理,"司法少年
校園霸凌
校園安全"
2024/09/06,"AI使用疑慮風險高 切勿操之過及
教育部應先建立倫理規範 避免未蒙其利先受其害",20240906【國教行動聯盟新聞稿】,新聞露出23篇,教育政策與改革,
2024/09/20,"新北割頸案凸顯少保調查官角色衝突
人力長期不足 保護缺乏力度
國教盟呼籲:勿讓「假人權」保護傘成為犯罪溫床",20240920【國教行動聯盟新聞稿】,新聞露出14篇,校園安全與管理,"司法少年
校園霸凌
校園安全"
2024/09/24,"蠟瓶糖之亂 光下架不是解決之道
應建立完整的報關與查驗機制 並強化食安教育
保護兒少健康與消費權益",20240924【國教行動聯盟青年部新聞稿】,新聞露出22篇,教育政策與改革,食品安全
2024/09/27,"教師節教師不快樂，表單填寫成為教師噩夢
國教盟強烈要求：行政減量應有實際作為 ",20240927【國教行動聯盟新聞稿】,新聞露出8篇,校園安全與管理,校園安全
2024/09/30,"國教盟聲援楊生父親 向立委遞交十大訴求：
呼籲檢討少年事件處理漏洞，拒絕再有無辜少年犧牲 ",20240930【國教行動聯盟新聞稿】,新聞露出54篇,校園安全與管理,"司法少年
校園霸凌
校園安全"
2024/10/09,"「世界心理健康日」公布職場心理健康調查
七成六認工作壓力危害心理健康
九成五支持彈性工時
國教盟呼籲政府強化職場心理健康相關政策",20241009【國教行動聯盟新聞稿】,新聞露出15篇,心理健康與神經多樣性,
2024/10/17,"國際專家認證3C成癮危害兒少大腦與情緒發展
國教盟呼籲正視「小烏龜世代」危機",20241017【國教行動聯盟新聞稿】,新聞露出22篇,校園安全與管理,3C成癮
2024/10/19,"電子煙隱患釀慘劇！15歲少年無照駕駛奪3命,
揭露青少年健康與社會風險！",20241019【國教行動聯盟聯合新聞稿】,新聞露出19篇,菸害與藥物防制,電子煙
2024/10/21,"煙毒不分家！電子煙載具已成吸毒工具
衛福部對新興菸品查緝不力是主因",20241021【國教行動聯盟新聞稿】,新聞露出24篇,菸害與藥物防制,電子煙
2024/11/05,"「校園電子煙防制遇困境：缺乏檢測設備與懲戒標準不一」
國教盟呼籲儘速改善",20241105【國教行動聯盟新聞稿】,新聞露出34篇,菸害與藥物防制,電子煙
2024/11/07,"美籍性罪犯入境後行蹤成謎，家長群組炸鍋
國教盟呼籲政府應立即解密傳達全民！",20241107【國教行動聯盟新聞稿】,新聞露出8篇,教育政策與改革,
2024/11/08,"電子煙毒防制大作戰 應全面升級、投入資源！
國教盟建議推動四大重點措施",20241108【國教行動聯盟新聞稿】,新聞露出2篇,菸害與藥物防制,電子煙
2024/11/29,"家長懲戒權等於暴力虐待？
七成家長反對粗暴修法：政府在踐踏親權！",20241129【國教行動聯盟新聞稿】,新聞露出30篇,兒童保護與權益,"兒虐防治
兒少權法"
2024/11/29,"肯定學生輔導法修法回應教育現場需求
國教盟呼籲應儘速落實相關配",20241129【國教行動聯盟新聞稿】,新聞露出30篇,教育政策與改革,升學制度
2024/12/03,"校安通報暴力與偏差行為事件國小占34%、管教衝突占45%，
台中事件揭示校園安全危機與困境",20241203【國教行動聯盟新聞稿】,新聞露出29篇,校園安全與管理,校園霸凌
2024/12/10,"青少年吸菸報告疑點重重：加熱菸數據消失，國健署刻意隱匿？
國教行動聯盟譴責拒菸政策推動停滯不前",20241210【國教行動聯盟新聞稿】,新聞露出4篇,菸害與藥物防制,加熱菸
2024/12/10,"健康台灣從學童健康開始！
專家家長齊呼：乳品政策要配套不要倒退",20241210【董氏基金會與國教盟聯合新聞稿】,新聞露出12篇,教育政策與改革,營養午餐
2024/12/11,「這世代的心聲」 2025台灣青年十大議題調查開跑！,20241211【國教行動聯盟青年部新聞稿】,新聞露出31篇,教育政策與改革,
2024/12/13,"從蠟瓶糖到痘痘雞：廉價玩具再現監管漏洞，家長如何不擔心？
國教盟呼籲：加強檢驗與教育宣導、落實網路平台責任",20241213【國教行動聯盟青年部新聞稿】,新聞露出26篇,教育政策與改革,食品安全
2024/12/23,"回應立法院「因應數位時代，啟動性別平等教育2.0」公聽會
性別平等教育2.0引領變革
國教盟呼籲打造親師生協作的本土性教育",20241223【國教行動聯盟新聞稿】,新聞露出10篇,性健康與性教育,性教育改革
2024/12/25,"割頸案周年 改革刻不容緩 政策停滯不前
別再讓家庭在聖誕節少一人！",20241225【國教行動聯盟新聞稿】,新聞露出14篇,校園安全與管理,"司法少年
校園霸凌
校園安全"
