日期,標題,連結,新聞露出整理,議題分類,議題標籤
2025/01/02,"落實「健康台灣」願景 保障兒童健康未來 
全國教育團體緊急呼籲行政院重新啟動「生生喝國產乳」計畫",20250102【國教行動聯盟新聞稿】,新聞露出42篇,教育政策與改革,營養午餐
2025/01/09,"公聽會家長聲音缺席，如何落實兒童最佳利益？
國教盟訴求政策缺失並提出修法建議",20250109【國教行動聯盟新聞稿】,新聞露出4篇,兒童保護與權益,"兒少權法
兒童權利公約"
2025/01/10,"菸防法修法兩週年 台灣加熱菸、加味菸管制陷入困境！
家長團體強烈呼籲政府應堅持立場 守護年輕人健康！",20250110【國教行動聯盟新聞稿】,新聞露出16篇,菸害與藥物防制,"加熱菸
加味菸"
2025/01/13,"青少年每10萬人有50.34人感染 12年來淋病暴增七倍
國教盟呼籲衛福部應立即採取行動回應青少年性健康危機",20250113【國教行動聯盟新聞稿】,新聞露出40篇,性健康與性教育,青少年性病
2025/01/15,"青少女梅毒病例10年增長53倍，性病低齡化問題浮現
國教盟與三黨立委緊急呼籲：青少年性病防治刻不容緩",20250115【國教行動聯盟新聞稿】,新聞露出71篇,性健康與性教育,青少年性病
2025/01/17,"小學三年級染性病是怎麼回事？
青少年性病暴增是「PrEP計畫篩檢」的結果？
國教盟質疑疾管署：數據真相不容粉飾!別再模糊焦點！",20250117【國教行動聯盟新聞稿】,新聞露出8篇,性健康與性教育,青少年性病
2025/01/21,"全台首次！8743  份問卷揭示「這世代的心聲」!
國教盟青年部公布「2025 年台灣青少年最關心的十大議題」調查結果！
 從假訊息防治到校園安全，為弟弟妹妹點亮成長的契機",20250121【國教行動聯盟青年部新聞稿】,新聞露出25篇,校園安全與管理,校園安全
2025/01/22,"2024台灣十大性與情感教育新聞事件出爐！
「健康台灣」不「性」福  健康安全亮紅燈
營造健康親密關係，十項警訊務必注意！
—校長、教師、家長、醫師、公衛學者、
心理學家與家庭教育工作者攜手發聲，推動青少年健康與安全未來！","20250122【國教行動聯盟、台灣性教育學會、
華人情感教育發展協會 聯合新聞稿】",新聞露出9篇,性健康與性教育,性教育改革
2025/01/26,"別讓加熱菸毀了你的假期！
年節出國帶加熱菸回台 自用送禮代購都違法
加熱菸無法幫助戒菸 一樣傷身有成癮危害",20250126【國教行動聯盟新聞稿】,新聞露出11篇,菸害與藥物防制,加熱菸
2025/02/13,"徒法不足以自行 兒少權法修法恐適得其反？
國教盟：強化家庭與教育支持才是關鍵！",20250213【國教行動聯盟新聞稿】,新聞露出5篇,兒童保護與權益,
2025/02/14,"情人節賴清德總統承諾跳票？ 
罔顧青少年成癮危機？「健康台灣」淪為空談？
菸防法公布屆滿兩年 請衛福部立即公告「全面禁止加味菸」!",20250214【國教行動聯盟新聞稿】,新聞露出12篇,菸害與藥物防制,加味菸
2025/02/20,"兒少權修法應具體回應青少年需求
國教盟調查十大關注議題揭示未竟之處！",20250220【國教行動聯盟青年部新聞稿】,新聞露出3篇,兒童保護與權益,
2025/03/06,"菸防法修法草案存漏洞 難擋喪屍煙彈校園氾濫
國教盟呼籲比照食安法加強對平台之監管及罰則",20250306【國教行動聯盟新聞稿】,新聞露出15篇,菸害與藥物防制,喪屍煙彈
2025/03/07,"青少年性病飆升、墮胎嚴重、非預期懷孕增加
政府該加強的是性教育，不是避孕藥！",20250307【國教行動聯盟新聞稿】,新聞露出3篇,性健康與性教育,青少年性病
2025/03/11,"喪屍煙彈年增132倍！菸防法修法草案卻未禁持有！
六大團體呼籲補強修法漏洞 避免毒品電子煙持續危害青少年！",20250311【國教行動聯盟新聞稿】,新聞露出34篇,菸害與藥物防制,喪屍煙彈
2025/03/17,情緒障礙飆升41%！國教盟籲校園手機使用聚焦內容管理、培養學生數位韌性,20250317【國教行動聯盟新聞稿】,新聞露出7篇,心理健康與神經多樣性,情緒障礙
2025/03/24,"早療通報再創新高 療育量能遠遠不足
八年來超過22萬名兒童錯失黃金治療期！
國教盟呼籲增加量能、檢討制度！",20250324【國教行動聯盟新聞稿】,新聞露出27篇,心理健康與神經多樣性,早期療育
2025/04/17,"新興菸品肆虐 校園危機加劇 呼籲修法徹底封堵漏洞
國教盟等拒菸團體提出「保護兒少遠離菸害」六大訴求",20250417【國教行動聯盟新聞稿】,新聞露出10篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸"
2025/04/23,"「423嬰兒 兒童 青少年 精神衛生日」
半年內同一學校3名國中生輕生
國教盟呼籲衛福部、教育部：健康檢查全面納入心理篩檢",20250423【國教行動聯盟新聞稿】,新聞露出16篇,心理健康與神經多樣性,神經多樣性
2025/04/24,"青少年說：我們不想再被毒駕撞傷！
國教盟青年部呼籲正視電子菸毒害、修法禁絕駕駛毒駕開車！",20250424【國教行動聯盟青年部新聞稿】,新聞露出17篇,菸害與藥物防制,電子菸
2025/04/30,"『看見不同，孩子的未來不是病名』
國教盟暨三黨立委呼籲正名「神經多樣性」
同時提升兒少心理健康就醫率",20250430【國教行動聯盟新聞稿】,新聞露出29篇,心理健康與神經多樣性,神經多樣性
2025/05/12,"「精液豆漿」考卷惹議 性教育專業破功！
家長怒轟師資失格，國教盟提四訴求要求教育部公開回應",20250512【國教行動聯盟新聞稿】,新聞露出67篇,性健康與性教育,性教育改革
2025/05/14,共同跨域網絡守護青少年身心與數位健康,20250514【國教行動聯盟新聞稿】,新聞露出26篇,校園安全與管理,3C成癮
2025/05/22,"92%民意怒吼、每年20幼童遭虐枉死！
國教盟公布8,700份問卷調查結果
籲修法兒虐致死『終身監禁不得假釋＋強制治療』",20250522【國教行動聯盟新聞稿】,新聞露出20篇,兒童保護與權益,兒虐防治
